date,open,close,high,low,volume,amount,log_return,amplitude_pct,volatility_5d,volatility_20d,bias_ratio_20d,guba_avg_sentiment,guba_post_volume,guba_pos_ratio,news_avg_sentiment,news_post_volume,news_pos_ratio
2025/4/17,3261.72,3280.34,3285.92,3258.15,382012698,4.42597E+11,0.00132391,0.8476800976800971,4.141731831147317,29.69019943336287,-0.537737923,0.009387434,4210,0.5092636579572447,0,0,0
2025/4/18,3270.35,3276.73,3283.09,3262.39,358836193,3.80313E+11,-0.001101102,0.6310321491065033,5.076938731927428,29.671734336738265,-0.447642751,-0.028368638,5626,0.48826875222182725,0,0,0
2025/4/21,3273.14,3291.43,3298.64,3270.01,379307588,4.29392E+11,0.004476147,0.8737369267531855,3.219302843746067,29.456974335387144,0.1105908703525957,0.066586143,1966,0.5381485249237029,0,0,0
2025/4/22,3289.17,3299.76,3311.15,3288.33,403167615,4.52675E+11,0.002527618,0.6933156713039671,3.2508826731696736,29.470759901821275,0.4713208874820641,-0.013425583,3428,0.49766627771295213,0,0,0
2025/4/23,3308.15,3296.36,3312.19,3293.06,411633212,4.86209E+11,-0.001030909,0.5797391325429762,3.787944056924942,29.46821675861878,0.4804152411777135,-0.045660364,2819,0.47924796026959915,0,0,0
2025/4/24,3295.15,3297.29,3313.51,3286.24,392844749,4.34706E+11,0.00028209,0.8272761470227898,3.845031875610758,29.471312124661697,0.6182734421941328,-0.125082298,4572,0.43700787401574803,0,0,0
2025/4/25,3300.39,3295.06,3305.26,3288.75,411043192,4.45418E+11,-0.000676542,0.5007142228921392,3.7060332293977583,29.456273141594423,0.671092753,-0.07947441,3013,0.46033853302356453,0,0,0
2025/4/28,3292.06,3288.41,3296.93,3279.88,410665863,4.41916E+11,-0.002020212,0.5174412605536691,2.7382532457757525,29.38740139626222,0.5645500029893471,-0.125181647,3399,0.43601059135039716,0.8171442747116089,1,1
2025/4/29,3281.45,3286.65,3294.98,3277.63,388961672,4.30881E+11,-0.000535356,0.5276106081662538,1.3277674807572195,29.35485250856551,0.5862442920715032,-0.0997462,2421,0.453118546,0,0,0
2025/4/30,3284.08,3279.03,3292.2,3277.55,435794335,5.05573E+11,-0.002321162,0.4457426254696921,1.727308772805353,29.309695016242816,0.4597392666230491,-0.027757684,2211,0.49163274536408863,0.8191840052604675,1,1
2025/5/6,3295.25,3316.11,3316.45,3286.99,474369617,5.51825E+11,0.011244762,0.8984364278460409,9.056105192252335,29.631299483924423,1.6487331266707883,0.1418182493894911,1564,0.5824808184143222,0,0,0
2025/5/7,3354.97,3342.67,3356.69,3324.81,511159606,5.9523E+11,0.00797748,0.9613673852797436,9.998475771670988,29.771868283502396,2.4618404613107923,-0.022720649,3763,0.4910975285676322,0,0,0
2025/5/8,3331.21,3352,3359.73,3327.9,428377766,5.01611E+11,0.002787294,0.9522327959385738,9.055451952776693,8.609219602623089,2.3471761553063595,0.046418277,1870,0.5278074866310161,0,0,0
2025/5/9,3350.41,3342,3351.22,3335.13,398909191,4.64862E+11,-0.002987752,0.4800119331742151,9.925889861,7.744113524,1.7367238065607955,-0.111163548,2965,0.44654300168634065,0,0,0
2025/5/12,3352.97,3369.24,3372.47,3344.27,418239910,5.22081E+11,0.008117769,0.8438061041292584,8.887160299409038,7.069339704723728,2.2819483854476683,0.063328109,1961,0.5410504844467109,0,0,0
2025/5/13,3386.23,3374.87,3386.23,3370.25,426240700,5.06609E+11,0.001669605,0.4742909380156955,7.416981175661515,6.280482780927336,2.2182208346931462,0.020529938,5661,0.5103338632750397,0,0,0
2025/5/14,3374.24,3403.95,3417.31,3368.08,464934441,5.34873E+11,0.008579717,1.458722854509952,7.6539028721818125,6.627398723420129,2.840900765381385,-0.052651129,4973,0.4751658958375226,0,0,0
2025/5/15,3398.43,3380.82,3402.87,3378.02,424100916,4.61292E+11,-0.006818238,0.7300342249445471,10.738897936159306,7.1170068947407366,1.960330162774257,-0.096840669,4487,0.4526409627813684,0,0,0
2025/5/16,3374.71,3367.46,3380.29,3356.66,395401030,4.35647E+11,-0.003959533,0.6989428600162123,11.025186324073108,7.403226093645153,1.4048082861736493,-0.095165031,2611,0.4549980850248947,0,0,0
2025/5/19,3365.88,3367.58,3373.6,3356.65,403074805,4.37178E+11,3.563453224116845e-05,0.5033467361156426,9.341648667760865,7.4099350857922035,1.2687842741959738,-0.00034509,1944,0.5025720164609053,0.9955127835273743,2,1
2025/5/20,3371.69,3380.48,3387.8,3369.96,405544534,4.5029E+11,0.003823326,0.5297572737692986,9.716093128886529,7.460431365011214,1.5038756663999189,0.048026177,1864,0.532725322,0,0,0
2025/5/21,3380.21,3387.57,3394.75,3380.21,412496165,4.65957E+11,0.002095139,0.4301164331692529,6.943233186810967,7.398440459288199,1.547781028238837,-0.057239981,2733,0.47457006952067327,0,0,0
2025/5/22,3381.87,3380.19,3390.59,3376.23,394217206,4.38335E+11,-0.002180929,0.4239026795018295,4.984450224693162,7.440010508544261,1.1919320435579854,-0.177331522,3920,0.41096938775510206,-0.95,1,0
2025/5/23,3376.87,3348.37,3389.47,3348.37,400227004,4.68588E+11,-0.009458261,1.2159079815039957,8.201138302623903,8.345592583816842,0.1664619733334755,-0.198703194,4302,0.39772198977219897,0,0,0
2025/5/26,3346.56,3346.84,3362.31,3336.36,347562101,4.00527E+11,-0.000457043,0.775003957,8.164132155621923,8.331996927859834,0.045152503,-0.06618794,2820,0.4684397163120567,0,0,0
2025/5/27,3346.5,3340.69,3351.57,3332.49,344071157,3.94409E+11,-0.001839245,0.5700899953388983,6.835157336606951,8.382007146,-0.203420493,-0.126222584,3411,0.4374083846379361,0,0,0
2025/5/28,3341.85,3339.93,3348.23,3336.73,341555443,3.89341E+11,-0.000227524,0.3442402617423347,6.031294704415026,8.374066551195096,-0.292947847,-0.137929327,3940,0.4302030456852792,0,0,0
2025/5/29,3340.4,3363.45,3368.63,3337.42,393233806,4.53741E+11,0.007017384,0.9344507220211214,9.304419544,8.59953724,0.2968544757036904,0.042239724,2431,0.5248868778280543,0,0,0
2025/5/30,3358.81,3347.49,3361.28,3341.65,385602170,4.43359E+11,-0.004756422,0.5836269306812978,6.896596146618053,8.835137379766087,-0.269533749,-0.128369368,3953,0.4351125727295725,0,0,0
2025/6/3,3340.07,3361.98,3367,3340.07,398060772,4.68293E+11,0.004319275,0.8044833591735849,7.525072253760645,8.826754410433045,0.038548694,0.050084954016014975,2142,0.5294117647058824,0,0,0
2025/6/4,3363.39,3376.2,3379.64,3363.39,386494643,4.46845E+11,0.004220731,0.4833461234153683,7.361996737381066,8.093454938900376,0.371942828,0.11583321172403266,1607,0.5656502800248911,0,0,0
2025/6/5,3378.22,3384.1,3387.76,3371.15,406252093,4.98241E+11,0.002337175,0.491973224,7.067194518971906,7.675953801173331,0.5448842839530498,0.089345727,1784,0.5538116591928252,-0.95,1,0
2025/6/6,3384.29,3385.36,3391.45,3379.76,380122886,4.52744E+11,0.00037226,0.3454389645695931,5.9536470901660605,7.633093330912469,0.5324983143665762,-0.003676522,2333,0.5019288469781398,0,0,0
2025/6/9,3388.78,3399.77,3402.05,3383.07,427347947,5.1188E+11,0.00424753,0.5606493844081579,2.758918858424568,7.627289587499246,0.8738940580366765,0.090051245,2082,0.5509125840537944,0.95,1,1
2025/6/10,3402.01,3384.82,3406.45,3365.67,481618568,5.57428E+11,-0.004407053,1.1994929068731044,5.707699111525757,7.336078640822569,0.4071079553949268,-0.134520717,4682,0.4318667236223836,0.7929216027259827,1,1
2025/6/11,3385.46,3402.32,3413.51,3385.46,424090313,5.01807E+11,0.005156823,0.8286999013241526,6.033287405820133,7.528701672166467,0.8851528190700734,-0.021760225,2939,0.4947260973120109,0,0,0
2025/6/12,3397.97,3402.66,3408.2,3388.87,409490610,5.01625E+11,9.992681838386674e-05,0.5681417385783797,6.056387666753621,6.881401271,0.8971641594542011,-0.060856272,2601,0.473279508,-0.95,1,0
2025/6/13,3397.48,3377,3401.55,3370.59,510065221,6.05385E+11,-0.007569737,0.9098763908236508,8.700066521737247,6.984285614220704,0.1419542597101743,-0.161214492,3814,0.41714735186156265,0,0,0
2025/6/16,3369.37,3388.73,3389.76,3368.88,405383278,4.81594E+11,0.003467479,0.6183002665087388,8.446126609513655,6.931169321903334,0.4581154257589046,0.041057851,1615,0.5294117647058824,0,0,0
2025/6/17,3388.18,3387.4,3393.31,3376.42,390012447,4.58038E+11,-0.000392554,0.4984168110176931,7.775476115379296,6.935122262049144,0.3891955809668504,-0.066286171,2070,0.4676328502415459,0.9059548735618591,2,1
2025/6/18,3386.14,3388.81,3391.71,3369.99,378684891,4.41011E+11,0.000416162,0.6411997402137407,6.472418382,6.809427914011919,0.41858734,-0.059430166,2429,0.4730341704405105,0,0,0
2025/6/19,3384.29,3362.11,3386.92,3353.94,415327655,4.73259E+11,-0.007910074,0.9732029827579598,8.073985448697071,7.331269469276856,-0.335002168,-0.194733104,4406,0.39854743531547887,0,0,0
2025/6/20,3358.91,3359.9,3370.8,3357.71,350223662,4.10873E+11,-0.000657541,0.3893388378131633,6.650173224409146,7.30144088,-0.370552514,-0.169861474,3337,0.41324543002697034,0,0,0
2025/6/23,3349.46,3381.58,3389.45,3347.65,384561397,4.42789E+11,0.006431844,1.2440846453763423,8.086862056511364,6.821086086589336,0.2229660020562823,0.016236098197919144,2135,0.5156908665105386,0,0,0
2025/6/24,3380.08,3420.57,3423.78,3380.08,460963800,5.44882E+11,0.011464148,1.2922953175734502,11.691737492079463,7.837596423356147,1.2679026693412505,0.17915249340144954,2450,0.6016326530612245,0.8444149494171143,1,1
2025/6/25,3419.09,3455.97,3459.01,3417.41,509384064,6.20173E+11,0.010295966,1.216171573743568,12.915570783587563,8.399720516773295,2.1416385215637943,0.1265035309317157,3533,0.5694876875176903,0.8499792218208313,1,1
2025/6/26,3451.72,3448.45,3462.75,3446.19,496541077,6.03095E+11,-0.002178316,0.4791708261356419,9.894329906,8.487068455584302,1.7562014716429142,0.074190217,3121,0.544056392,0.8564863860607147,2,1
2025/6/27,3450.69,3424.23,3462.63,3421.04,523129432,6.05732E+11,-0.007048226,1.206049094520731,12.830083531692807,8.760190912319391,0.9509953279397212,0.000348229,2680,0.5033582089552239,0,0,0
2025/6/30,3423.47,3444.43,3447.46,3420.11,457348049,5.67137E+11,0.005881805,0.7987197121688645,12.76458900623567,8.663218793014936,1.4016199565505254,0.16000287741197033,1453,0.5911906400550585,0.8517751693725586,1,1
2025/7/1,3445.85,3457.75,3459.59,3441.04,444356739,5.53557E+11,0.003859655,0.5385506455349705,10.840876487897196,8.644385290997942,1.6504547261177602,0.12051035184878855,2560,0.56796875,0.8611825466156006,2,1
2025/7/2,3458.17,3454.79,3461.33,3447.96,498116776,5.43131E+11,-0.000856415,0.3866676306846906,8.118737287275968,8.612802887849174,1.4462474719482623,0.003543897,2542,0.506294256,0.7826637625694275,1,1
2025/7/3,3456.15,3461.15,3463.62,3446.97,438543465,5.00212E+11,0.00183923,0.4819395679621653,7.960380935094348,8.605514335582095,1.518160140083703,-0.002225247,2016,0.5034722222222222,0,0,0
2025/7/4,3459.59,3472.32,3497.22,3455.49,500195210,5.67241E+11,0.003222055,1.205668636146946,3.975794957682629,8.631839090011841,1.7160660835717292,-0.077141997,5753,0.4618459933947506,0.9026871681213379,2,1
2025/7/7,3467.98,3473.13,3474.8,3462.79,436631340,4.76197E+11,0.000233246,0.3458782600682027,3.142850671,8.565423891050523,1.630593496938911,0.019979135363993015,1980,0.5141414141414141,0,0,0
2025/7/8,3474.63,3497.48,3499.89,3474.63,493484773,5.67507E+11,0.006986504,0.7272978552487169,4.844918675515953,8.55438422,2.1747049916755334,0.088440675,2571,0.5515363671723065,0.7679294347763062,1,1
2025/7/9,3498.72,3493.05,3512.67,3491.2,523920088,5.95963E+11,-0.001267429,0.6138705582305046,5.018486839009571,8.507620977193534,1.9102277980455944,-0.053598322,4329,0.4753984753984754,0.95,2,1
2025/7/10,3491.5,3509.68,3526.59,3491.5,564159805,6.13161E+11,0.004749585,1.0045662100456665,5.302945847874996,8.579271845555153,2.2358037668444055,0.003889889,3991,0.5053871210223002,0.4261707246303558,4,0.75
2025/7/11,3511.37,3510.18,3555.22,3506.8,664185249,7.53549E+11,0.000142453,1.3796129561669332,5.586093029812069,7.902193420136558,2.052413001508471,-0.035190059,5570,0.4822262118491921,0,0,0
2025/7/14,3513.25,3519.65,3532.12,3513.25,572084705,6.23102E+11,0.002694235,0.537579269,5.315526036886176,7.887043560105414,2.133363163883899,0.001487534,2363,0.5044435040203131,0.95,1,1
2025/7/15,3519.81,3505,3527.04,3483.38,572074726,6.46852E+11,-0.004171032,1.2404642507067425,5.494450230536644,8.142325066935856,1.5350035769000303,-0.096702205,4175,0.45149700598802395,0,0,0
